country,total_revenue,invoice_count,customer_count
United Kingdom,9025222.084002115,18784,3922
Netherlands,285446.34,95,9
EIRE,283453.95999999857,288,4
Germany,228867.13999999836,457,94
France,209715.10999999975,392,88
Australia,138521.30999999968,57,9
Spain,61577.10999999996,90,30
Switzerland,57089.900000000096,54,22
Belgium,41196.33999999997,98,25
Sweden,38378.33000000001,36,8
Japan,37416.37,19,8
Norway,36165.44000000006,36,10
Portugal,33747.1,58,20
Finland,22546.079999999976,41,12
Singapore,21279.289999999997,7,1
Channel Islands,20450.439999999966,26,9
Denmark,18955.339999999997,18,9
Italy,17483.240000000013,38,14
Hong Kong,15691.800000000007,11,1
Cyprus,13590.379999999996,16,8
Austria,10198.679999999997,17,11
Israel,8135.259999999993,8,4
Poland,7334.649999999998,19,6
Greece,4760.520000000001,5,4
Unspecified,4749.789999999997,13,5
Iceland,4309.999999999998,7,1
Canada,3666.3800000000006,6,4
USA,3580.3900000000012,5,4
Malta,2725.59,5,2
United Arab Emirates,1902.2800000000007,3,2
Lebanon,1693.8800000000003,1,1
Lithuania,1661.06,4,1
European Community,1300.2500000000005,4,1
Brazil,1143.6,1,1
RSA,1002.3099999999997,1,1
Czech Republic,826.7400000000001,2,1
Bahrain,754.1399999999999,3,3
Saudi Arabia,145.92000000000002,1,1
