year_month,revenue,invoices,order_lines
2010-12,823746.1399999645,1629,41683
2011-01,691364.5600000106,1120,34350
2011-02,523631.89000002766,1126,27184
2011-03,717639.3600000186,1531,35915
2011-04,537808.6210000241,1318,29171
2011-05,770536.020000011,1731,36292
2011-06,761739.9000000223,1576,36056
2011-07,719221.1910000268,1540,38716
2011-08,759138.3800000169,1407,34564
2011-09,1058590.1719999965,1896,49323
2011-10,1154979.3000000014,2129,59396
2011-11,1509496.3299998827,2884,83498
2011-12,638792.6800000131,839,25135
